norm.name	RBN011364-002.horizon.GI50_nm	RBN011595-001.horizon.GI50_nm	RBN011628-001.horizon.GI50_nm	RBN011364-002.horizon.IC50_nm	RBN011595-001.horizon.IC50_nm	RBN011628-001.horizon.IC50_nm	RBN011364-002.horizon.Delta.1um	RBN011595-001.horizon.Delta.1um	RBN011628-001.horizon.Delta.1um	RBN011364-002.horizon.EMax.1um.fixed	RBN011595-001.horizon.EMax.1um.fixed	RBN011628-001.horizon.EMax.1um.fixed	Response.group
HCC1588	2510.21943782497	3517.79627342941	1718.54130700544	10000	3403.43301067408	2425.44680727286	16.5146363434486	0.00289040381251482	15.9825457384214	65.6450663660486	86.0407249631498	66.4847150239614	Nonresponder
HCC1599	101.174557797362	3186.34637371757	241.369759066278	10000	10000	417.230183808671	94.704206761829	50.4131673895852	109.266043927984	25.0237886889737	72.9594602728127	-0.889211463344211	Responder
HCC1937	24.9310431873803	10000	1.93232135438615	5.9686489561361	11.7585179257366	0.564948896242307	64.8222746915279	49.5399369740123	73.7287513739209	37.6539493186603	51.45507877196	33.7881986034935	Responder
HCC2108	10000	10000	3500.86597764041	1472.60214177299	10000	10000	20.5755615628236	9.11910509782533	26.0942921997728	88.5071559405454	93.3261224667163	81.1652956106479	Nonresponder
HCC2218	4536.27710786724	10000	843.799636602468	3740.84911543537	8361.40317769038	1298.0727262577	2.8554309210449e-06	0.040327654762379	48.6010603740871	99.2598695715282	95.6738105693845	40.4008985453283	Nonresponder
HCC2279	165.094500090635	673.187112288366	54.9361983449197	67.7430429989249	10000	10000	89.351245364958	62.009343968987	108.621322660803	28.8040029468536	42.8387625280964	6.43616365399923	Responder
HCC38	1171.57031670857	4708.98129833793	9160.71773342713	10000	10000	80.0171475417196	44.9800383912443	35.9909870743995	42.2865248974196	52.4159025353296	62.6461813411977	57.9397440809827	Responder
HCC44	10000	10000	10000	63.6242867109139	65.1478406433588	2.49082865084221	58.082338604744	49.1246150223079	43.3263493610528	58.9192144002994	68.9186935940566	72.1556991093263	Responder
HCC70	10000	10000	658.81039208591	10000	2747.64537737161	905.797602917709	14.4355227732133	18.2533563813095	52.2146074233916	67.5097010087637	65.9284648250545	34.0243774580842	Nonresponder
HCC95	248.253692579611	478.412817853716	10000	38.1579790496206	118.583033594478	0.81864373113406	55.0049253819148	51.687650994488	41.639247957364	43.2583824810462	44.3294311767062	55.3359524118705	Responder
HCT116	3698.81321043207	10000	1344.12766739908	3246.86622853695	10000	1487.94882809095	0.00511002269804806	0	42.6864603053339	96.437246332777	100	58.010105431974	Nonresponder
HDQP1	462.90978657401	527.261407132112	10000	6.10367440182872	271.34254371697	0.972886878760737	43.2343652568265	44.1141794025354	39.3300427396203	49.4346154895391	44.2887602938466	52.6730060129042	Responder
