cell.line	compound	variable	value
LXF-289	RBN011364-002	GI50_nm	175.094898313542
HDQ-P1	RBN010061-002	GI50_nm	10000
HDQ-P1	RBN011364-002	GI50_nm	462.90978657401
U-87 MG	RBN010061-002	GI50_nm	3970.65672146817
U-87 MG	RBN011364-002	GI50_nm	10000
DBTRG-05MG	RBN010061-002	GI50_nm	10000
DBTRG-05MG	RBN011364-002	GI50_nm	10000
HCC-15	RBN010061-002	GI50_nm	10000
HCC-15	RBN011364-002	GI50_nm	3539.5145493799
NCI-H1437	RBN010061-002	GI50_nm	4677.07799301446
NCI-H1437	RBN011364-002	GI50_nm	21.3997122488836
NCI-H647	RBN010061-002	GI50_nm	4320.41134680747
NCI-H647	RBN011364-002	GI50_nm	196.464798243147
LOU-NH91	RBN010061-002	GI50_nm	10000
LOU-NH91	RBN011364-002	GI50_nm	10000
CAL-27	RBN010061-002	GI50_nm	662.864726825542
CAL-27	RBN011364-002	GI50_nm	8.69599598906053
LCLC-97TM1	RBN010061-002	GI50_nm	10000
LCLC-97TM1	RBN011364-002	GI50_nm	10000
GSS	RBN010061-002	GI50_nm	10000
GSS	RBN011364-002	GI50_nm	663.767220958421
HCC1937	RBN010061-002	GI50_nm	10000
HCC1937	RBN011364-002	GI50_nm	24.9310431873803
OV56	RBN010061-002	GI50_nm	10000
OV56	RBN011364-002	GI50_nm	10000
HSC-4	RBN010061-002	GI50_nm	10000
HSC-4	RBN011364-002	GI50_nm	10000
CL-11	RBN010061-002	GI50_nm	1364.76730541131
CL-11	RBN011364-002	GI50_nm	10000
SW480	RBN010061-002	GI50_nm	10000
SW480	RBN011364-002	GI50_nm	3733.68555327597
NCI-H2170	RBN010061-002	GI50_nm	3055.52439521352
NCI-H2170	RBN011364-002	GI50_nm	6431.44839002587
TE-6	RBN010061-002	GI50_nm	4200.56380118218
TE-6	RBN011364-002	GI50_nm	1147.19041456103
HCC95	RBN010061-002	GI50_nm	10000
HCC95	RBN011364-002	GI50_nm	248.253692579611
MDA-MB-175-VII	RBN010061-002	GI50_nm	10000
MDA-MB-175-VII	RBN011364-002	GI50_nm	10000
NCI-H522	RBN010061-002	GI50_nm	2695.13862268611
NCI-H522	RBN011364-002	GI50_nm	3486.42546217573
HCC2108	RBN010061-002	GI50_nm	1106.81528262089
HCC2108	RBN011364-002	GI50_nm	10000
TE-10	RBN010061-002	GI50_nm	6839.22914777197
TE-10	RBN011364-002	GI50_nm	10000
ZR-75-30	RBN010061-002	GI50_nm	10000
ZR-75-30	RBN011364-002	GI50_nm	10000
GSU	RBN010061-002	GI50_nm	3324.55154251529
GSU	RBN011364-002	GI50_nm	78.7863959844535
KYSE-410	RBN010061-002	GI50_nm	10000
KYSE-410	RBN011364-002	GI50_nm	7522.32832798077
KE-39	RBN010061-002	GI50_nm	10000
KE-39	RBN011364-002	GI50_nm	10000
KNS-62	RBN010061-002	GI50_nm	10000
KNS-62	RBN011364-002	GI50_nm	10000
KPL-1	RBN010061-002	GI50_nm	110.414811470888
KPL-1	RBN011364-002	GI50_nm	2212.95176752699
SCC-25	RBN010061-002	GI50_nm	1426.00552142004
SCC-25	RBN011364-002	GI50_nm	5.43426761573336
NCI-H1869	RBN010061-002	GI50_nm	4471.85879885356
NCI-H1869	RBN011364-002	GI50_nm	10000
TE-5	RBN010061-002	GI50_nm	4187.74787288634
TE-5	RBN011364-002	GI50_nm	6172.80191397049
SNU-719	RBN010061-002	GI50_nm	885.202223119724
SNU-719	RBN011364-002	GI50_nm	599.001610984155
NCI-H358	RBN010061-002	GI50_nm	5093.7998386094
NCI-H358	RBN011364-002	GI50_nm	10000
TYK-nu	RBN010061-002	GI50_nm	3153.4872989705
TYK-nu	RBN011364-002	GI50_nm	18.1424631588705
NCI-H1703	RBN010061-002	GI50_nm	10000
NCI-H1703	RBN011364-002	GI50_nm	1092.89716055718
CAL-33	RBN010061-002	GI50_nm	10000
CAL-33	RBN011364-002	GI50_nm	10000
NCI-H1373	RBN010061-002	GI50_nm	8918.17007496842
NCI-H1373	RBN011364-002	GI50_nm	10000
TGBC11TKB	RBN010061-002	GI50_nm	1532.06780193254
TGBC11TKB	RBN011364-002	GI50_nm	1315.39970427565
JIMT-1	RBN010061-002	GI50_nm	3370.88600171617
JIMT-1	RBN011364-002	GI50_nm	10000
YMB-1	RBN010061-002	GI50_nm	4500.81666661333
YMB-1	RBN011364-002	GI50_nm	8006.35370219004
KYSE-520	RBN010061-002	GI50_nm	10000
KYSE-520	RBN011364-002	GI50_nm	10000
KYSE-70	RBN010061-002	GI50_nm	3771.08387954919
KYSE-70	RBN011364-002	GI50_nm	10000
LS-123	RBN010061-002	EMax	37.595441945672
LS-123	RBN011364-002	EMax	67.0509614583598
EBC-1	RBN010061-002	EMax	56.5741589593985
EBC-1	RBN011364-002	EMax	-20.5796603242921
T3M-10	RBN010061-002	EMax	55.0060916923088
T3M-10	RBN011364-002	EMax	7.6795705192489
SNU-175	RBN010061-002	EMax	46.0244834841547
SNU-175	RBN011364-002	EMax	90.2740462292526
A253	RBN010061-002	EMax	16.4631130674796
A253	RBN011364-002	EMax	75.4340350276502
A549	RBN010061-002	EMax	63.6949567878939
A549	RBN011364-002	EMax	100
KYSE-270	RBN010061-002	EMax	16.0877415829699
KYSE-270	RBN011364-002	EMax	79.7715023753087
KYSE-450	RBN010061-002	EMax	100
KYSE-450	RBN011364-002	EMax	50.3360205364897
IM-95	RBN010061-002	EMax	21.8764095850186
IM-95	RBN011364-002	EMax	34.4951118502753
LoVo	RBN010061-002	EMax	13.4269763833069
LoVo	RBN011364-002	EMax	80.8359992890298
LCLC-103H	RBN010061-002	EMax	82.4429378846653
LCLC-103H	RBN011364-002	EMax	70.3236491073374
KNS-81	RBN010061-002	EMax	23.7012361303926
KNS-81	RBN011364-002	EMax	70.4913067689096
MDA-MB-436	RBN010061-002	EMax	3.13914001676459
