cell.line	compound	variable	value
SK-OV-3	RBN010061-002	Slope	-16.6646034850074
SK-OV-3	RBN011364-002	Slope	-1.28918167359494
SNU-620	RBN010061-002	Slope	-7.14034320043751
SNU-620	RBN011364-002	Slope	-14.5423779783724
EFE-184	RBN010061-002	Slope	-0.477550015855543
EFE-184	RBN011364-002	Slope	0.902559517849952
EFO-27	RBN010061-002	Slope	NA
EFO-27	RBN011364-002	Slope	-0.294013249714664
EVSA-T	RBN010061-002	Slope	-0.104748487097392
EVSA-T	RBN011364-002	Slope	-0.545961000973409
HCT-116	RBN010061-002	Slope	-3.48805400685824
HCT-116	RBN011364-002	Slope	-7.99599599427054
HEC-1-B	RBN010061-002	Slope	-14.6303432295791
HEC-1-B	RBN011364-002	Slope	0.597851477927118
LXF-289	RBN010061-002	Slope	NA
LXF-289	RBN011364-002	Slope	1.97764470902515
HDQ-P1	RBN010061-002	Slope	-14.1765416228485
HDQ-P1	RBN011364-002	Slope	0.82033476335422
U-87 MG	RBN010061-002	Slope	-12.9041492394107
U-87 MG	RBN011364-002	Slope	-1.4497610981307
DBTRG-05MG	RBN010061-002	Slope	-0.289483991017971
DBTRG-05MG	RBN011364-002	Slope	-0.309244753034536
HCC-15	RBN010061-002	Slope	-1.78678456316296
HCC-15	RBN011364-002	Slope	-0.863503345999466
NCI-H1437	RBN010061-002	Slope	-1.50145162712897
NCI-H1437	RBN011364-002	Slope	0.496175080249697
NCI-H647	RBN010061-002	Slope	-12.089286404621
NCI-H647	RBN011364-002	Slope	-0.733415073018502
LOU-NH91	RBN010061-002	Slope	NA
LOU-NH91	RBN011364-002	Slope	-0.515663860065183
CAL-27	RBN010061-002	Slope	-1.78460646059512
CAL-27	RBN011364-002	Slope	-0.815501076695418
LCLC-97TM1	RBN010061-002	Slope	-2.39048838495312
LCLC-97TM1	RBN011364-002	Slope	-0.363742676934475
GSS	RBN010061-002	Slope	-7.07003207225065
GSS	RBN011364-002	Slope	-0.874818755972982
HCC1937	RBN010061-002	Slope	-1.62036340249769
HCC1937	RBN011364-002	Slope	-0.989603881468207
OV56	RBN010061-002	Slope	NA
OV56	RBN011364-002	Slope	-3.82099279892784
HSC-4	RBN010061-002	Slope	-8.35893063360674
HSC-4	RBN011364-002	Slope	-0.350339312102039
CL-11	RBN010061-002	Slope	1.10522677724225
CL-11	RBN011364-002	Slope	-7.61079233176965
SW480	RBN010061-002	Slope	-8.27343323663023
SW480	RBN011364-002	Slope	-14.4188862085281
NCI-H2170	RBN010061-002	Slope	-2.51446853729544
NCI-H2170	RBN011364-002	Slope	-0.920664864684622
TE-6	RBN010061-002	Slope	-12.3101546517242
TE-6	RBN011364-002	Slope	-0.362915406932254
HCC95	RBN010061-002	Slope	-11.9018791797762
HCC95	RBN011364-002	Slope	-0.802212635307561
MDA-MB-175-VII	RBN010061-002	Slope	-0.783484606801246
MDA-MB-175-VII	RBN011364-002	Slope	-2.4721359908483
NCI-H522	RBN010061-002	Slope	-1.82466303360252
NCI-H522	RBN011364-002	Slope	-2.61363802071223
HCC2108	RBN010061-002	Slope	-2.50216590929662
HCC2108	RBN011364-002	Slope	-0.449365509689433
TE-10	RBN010061-002	Slope	-1.80429683685743
TE-10	RBN011364-002	Slope	-0.44819580518672
ZR-75-30	RBN010061-002	Slope	NA
ZR-75-30	RBN011364-002	Slope	0.520934608719715
GSU	RBN010061-002	Slope	-13.5528750317029
GSU	RBN011364-002	Slope	-0.326222175767224
KYSE-410	RBN010061-002	Slope	-1.05205609387237
KYSE-410	RBN011364-002	Slope	-1.08315465595781
KE-39	RBN010061-002	Slope	-0.896990545034123
KE-39	RBN011364-002	Slope	0.694236408339602
KNS-62	RBN010061-002	Slope	-8.2357409544985
KNS-62	RBN011364-002	Slope	-0.832823686894411
KPL-1	RBN010061-002	Slope	-1.48542611711261
KPL-1	RBN011364-002	Slope	-1.6230805182195
SCC-25	RBN010061-002	Slope	-2.4831677816
SCC-25	RBN011364-002	Slope	1.17690997185663
NCI-H1869	RBN010061-002	Slope	-2.42283536077294
NCI-H1869	RBN011364-002	Slope	-1.26431020580523
TE-5	RBN010061-002	Slope	-0.968325655565626
TE-5	RBN011364-002	Slope	-1.76738296979529
SNU-719	RBN010061-002	Slope	-0.378812126122794
SNU-719	RBN011364-002	Slope	-0.357231374552956
NCI-H358	RBN010061-002	Slope	-5.64898176116506
NCI-H358	RBN011364-002	Slope	-0.981856693636146
TYK-nu	RBN010061-002	Slope	-1.30345371587726
TYK-nu	RBN011364-002	Slope	0.950715168598769
NCI-H1703	RBN010061-002	Slope	-0.495344277779575
NCI-H1703	RBN011364-002	Slope	-1.61236580276591
CAL-33	RBN010061-002	Slope	-8.96077598923808
CAL-33	RBN011364-002	Slope	1.03790291135216
NCI-H1373	RBN010061-002	Slope	-3.06034435315991
NCI-H1373	RBN011364-002	Slope	2.08307303559744
TGBC11TKB	RBN010061-002	Slope	1.20151986501535
TGBC11TKB	RBN011364-002	Slope	-0.343330270946657
JIMT-1	RBN010061-002	Slope	-1.32763533487872
JIMT-1	RBN011364-002	Slope	-1.73179427827302
YMB-1	RBN010061-002	Slope	-0.861547431011447
YMB-1	RBN011364-002	Slope	-2.99499124167884
KYSE-520	RBN010061-002	Slope	-7.98211544746747
KYSE-520	RBN011364-002	Slope	-0.418158039758398
KYSE-70	RBN010061-002	Slope	-13.1522711982667
KYSE-70	RBN011364-002	Slope	-0.531223806130871
LS-123	RBN010061-002	Slope.stderr	0.359352069903013
LS-123	RBN011364-002	Slope.stderr	0.281213151736092
EBC-1	RBN010061-002	Slope.stderr	0.325854022807389
EBC-1	RBN011364-002	Slope.stderr	0.0914710151549292
T3M-10	RBN010061-002	Slope.stderr	0.312210920840432
T3M-10	RBN011364-002	Slope.stderr	0.256985787153101
SNU-175	RBN010061-002	Slope.stderr	3.40973444206142
SNU-175	RBN011364-002	Slope.stderr	0.198594919514138
A253	RBN010061-002	Slope.stderr	0.0996744374007034
A253	RBN011364-002	Slope.stderr	0.389239506028168
A549	RBN010061-002	Slope.stderr	315.77566048012
A549	RBN011364-002	Slope.stderr	NA
KYSE-270	RBN010061-002	Slope.stderr	0.621926658887862
KYSE-270	RBN011364-002	Slope.stderr	0.412087832708367
KYSE-450	RBN010061-002	Slope.stderr	NA
KYSE-450	RBN011364-002	Slope.stderr	0.0233794770857034
IM-95	RBN010061-002	Slope.stderr	0.332197871088162
IM-95	RBN011364-002	Slope.stderr	181366.591313095
LoVo	RBN010061-002	Slope.stderr	0.49427415759092
LoVo	RBN011364-002	Slope.stderr	99.0051045495611
LCLC-103H	RBN010061-002	Slope.stderr	65.7904229211385
LCLC-103H	RBN011364-002	Slope.stderr	0.595575462361281
KNS-81	RBN010061-002	Slope.stderr	0.555466440058601
KNS-81	RBN011364-002	Slope.stderr	0.956560938828957
MDA-MB-436	RBN010061-002	Slope.stderr	0.0944526632185537
MDA-MB-436	RBN011364-002	Slope.stderr	2.27085277184779
HCC1195	RBN010061-002	Slope.stderr	0.26404833358153
HCC1195	RBN011364-002	Slope.stderr	0.170853311062942
SNG-M	RBN010061-002	Slope.stderr	9.26264861787782
SNG-M	RBN011364-002	Slope.stderr	12.8515650751851
MDA-MB-231	RBN010061-002	Slope.stderr	0.603430372845907
MDA-MB-231	RBN011364-002	Slope.stderr	0.298112177450911
LK-2	RBN010061-002	Slope.stderr	0.737814249291013
LK-2	RBN011364-002	Slope.stderr	0.232602608989581
HCC2218	RBN010061-002	Slope.stderr	0.752100364265219
HCC2218	RBN011364-002	Slope.stderr	0.171235899529448
LC-1sq	RBN010061-002	Slope.stderr	0.194403667084505
LC-1sq	RBN011364-002	Slope.stderr	6.88569505678883
FaDu	RBN010061-002	Slope.stderr	0.643282309075469
FaDu	RBN011364-002	Slope.stderr	0.497564882446939
NCI-H596	RBN010061-002	Slope.stderr	0.146805540720195
NCI-H596	RBN011364-002	Slope.stderr	0.285774206412045
Caki-1	RBN010061-002	Slope.stderr	83.0393842872809
Caki-1	RBN011364-002	Slope.stderr	0.0599211552668168
ACHN	RBN010061-002	Slope.stderr	NA
ACHN	RBN011364-002	Slope.stderr	0.263411501784854
YD-8	RBN010061-002	Slope.stderr	17.1377701873595
YD-8	RBN011364-002	Slope.stderr	2.17757410867981
HCC1588	RBN010061-002	Slope.stderr	0.0894963763357462
HCC1588	RBN011364-002	Slope.stderr	0.0183808244377153
T47D	RBN010061-002	Slope.stderr	1.13999585061349
T47D	RBN011364-002	Slope.stderr	1.88514336912755
TE-8	RBN010061-002	Slope.stderr	0.0391201385448521
TE-8	RBN011364-002	Slope.stderr	0.509029573476278
IA-LM	RBN010061-002	Slope.stderr	49.2022938424236
IA-LM	RBN011364-002	Slope.stderr	0.070573957973755
EN	RBN010061-002	Slope.stderr	0.522969889500997
EN	RBN011364-002	Slope.stderr	0.00347471140702881
NCI-H1975	RBN010061-002	Slope.stderr	0.404397921593432
NCI-H1975	RBN011364-002	Slope.stderr	0.11315476760875
NCI-H1838	RBN010061-002	Slope.stderr	0.0555494550292291
NCI-H1838	RBN011364-002	Slope.stderr	7818.20541141877
HCC-44	RBN010061-002	Slope.stderr	14.4358059493249
HCC-44	RBN011364-002	Slope.stderr	0.110700511618328
HCC1187	RBN010061-002	Slope.stderr	0.0075940485128388
HCC1187	RBN011364-002	Slope.stderr	0.0061724487802772
YH-13	RBN010061-002	Slope.stderr	0.0860846157296358
YH-13	RBN011364-002	Slope.stderr	0.216319574587095
HCC38	RBN010061-002	Slope.stderr	0.346486128461154
HCC38	RBN011364-002	Slope.stderr	0.00102045247648551
SNU-1033	RBN010061-002	Slope.stderr	0.0809305276076171
SNU-1033	RBN011364-002	Slope.stderr	23.7699093677733
Calu-1	RBN010061-002	Slope.stderr	0.236040787524879
Calu-1	RBN011364-002	Slope.stderr	0.342126874803721
PE-CA-PJ15	RBN010061-002	Slope.stderr	0.636651328073324
PE-CA-PJ15	RBN011364-002	Slope.stderr	0.300302590542445
BHY	RBN010061-002	Slope.stderr	429999.711894842
BHY	RBN011364-002	Slope.stderr	0.441011475239968
MDA-MB-468	RBN010061-002	Slope.stderr	0.441287302966439
MDA-MB-468	RBN011364-002	Slope.stderr	0.00211495069163768
CCK-81	RBN010061-002	Slope.stderr	0.107049279235268
CCK-81	RBN011364-002	Slope.stderr	0.299027548870477
HCC2279	RBN010061-002	Slope.stderr	0.0265073407733021
HCC2279	RBN011364-002	Slope.stderr	0.00860003430004076
HCC1599	RBN010061-002	Slope.stderr	5.84328443099521
HCC1599	RBN011364-002	Slope.stderr	0.00194893403482109
COLO-680N	RBN010061-002	Slope.stderr	0.800221068511675
COLO-680N	RBN011364-002	Slope.stderr	0.156638247325295
SK-BR-3	RBN010061-002	Slope.stderr	0.0969798463047499
SK-BR-3	RBN011364-002	Slope.stderr	0.0116043909257423
NCI-H810	RBN010061-002	Slope.stderr	0.264204225823175
NCI-H810	RBN011364-002	Slope.stderr	0.43495411570266
Hs-578-T	RBN010061-002	Slope.stderr	0.303773063050194
Hs-578-T	RBN011364-002	Slope.stderr	0.325128609211555
KURAMOCHI	RBN010061-002	Slope.stderr	0.797007273385025
KURAMOCHI	RBN011364-002	Slope.stderr	0.00673595041759878
SNU-81	RBN010061-002	Slope.stderr	0.00234268009386661
SNU-81	RBN011364-002	Slope.stderr	0.0012731844161622
SNU-C4	RBN010061-002	Slope.stderr	26.1056926316874
SNU-C4	RBN011364-002	Slope.stderr	0.22622619338812
Detroit562	RBN010061-002	Slope.stderr	0.0506919096014252
Detroit562	RBN011364-002	Slope.stderr	1.60926286011073
NUGC-4	RBN010061-002	Slope.stderr	253.012276355676
NUGC-4	RBN011364-002	Slope.stderr	45.603983179256
KYSE-30	RBN010061-002	Slope.stderr	0.0807830791192954
KYSE-30	RBN011364-002	Slope.stderr	0.218283139333522
OV7	RBN010061-002	Slope.stderr	0.251988389893686
OV7	RBN011364-002	Slope.stderr	0.499349335928348
RCM-1	RBN010061-002	Slope.stderr	39.8286882164759
RCM-1	RBN011364-002	Slope.stderr	0.308294500616279
HT-29	RBN010061-002	Slope.stderr	902144.646240011
HT-29	RBN011364-002	Slope.stderr	0.0351063732742326
SW48	RBN010061-002	Slope.stderr	0.330391019215668
SW48	RBN011364-002	Slope.stderr	538223.389215346
JHOS-2	RBN010061-002	Slope.stderr	0.0547555130235517
JHOS-2	RBN011364-002	Slope.stderr	0.0900966187192371
OVCAR-8	RBN010061-002	Slope.stderr	0.208810400777113
OVCAR-8	RBN011364-002	Slope.stderr	0.41225854424892
OVISE	RBN010061-002	Slope.stderr	0.469400308706033
OVISE	RBN011364-002	Slope.stderr	0.184309594053897
JHOS-4	RBN010061-002	Slope.stderr	0.122102595943968
JHOS-4	RBN011364-002	Slope.stderr	0.0218655720473564
HARA	RBN010061-002	Slope.stderr	0.187343965634589
HARA	RBN011364-002	Slope.stderr	1.05515279402194
SW620	RBN010061-002	Slope.stderr	0.399638459681308
SW620	RBN011364-002	Slope.stderr	0.131365045999942
RKN	RBN010061-002	Slope.stderr	34.2260870574256
RKN	RBN011364-002	Slope.stderr	0.0199865560583375
SH-10-TC	RBN010061-002	Slope.stderr	34.1157502418437
SH-10-TC	RBN011364-002	Slope.stderr	36.0580764543518
TOV-21G	RBN010061-002	Slope.stderr	0.234055178468983
TOV-21G	RBN011364-002	Slope.stderr	0.776437107022585
YD-10B	RBN010061-002	Slope.stderr	0.116558563238049
YD-10B	RBN011364-002	Slope.stderr	0.198656863180846
LUDLU-1	RBN010061-002	Slope.stderr	62.0416376911022
LUDLU-1	RBN011364-002	Slope.stderr	0.646393831907345
NCI-H2023	RBN010061-002	Slope.stderr	0.456140473089371
NCI-H2023	RBN011364-002	Slope.stderr	0.297184393076368
HCC70	RBN010061-002	Slope.stderr	0.533688164011225
HCC70	RBN011364-002	Slope.stderr	0.0188430668969379
SW900	RBN010061-002	Slope.stderr	0.131480259598165
SW900	RBN011364-002	Slope.stderr	0.12799650051043
RERF-LC-AI	RBN010061-002	Slope.stderr	0.0507280110544557
RERF-LC-AI	RBN011364-002	Slope.stderr	0.335251127376276
HCC1143	RBN010061-002	Slope.stderr	0.864740086787395
HCC1143	RBN011364-002	Slope.stderr	0.0222379932088425
NCI-H520	RBN010061-002	Slope.stderr	0.34471153267868
NCI-H520	RBN011364-002	Slope.stderr	NA
YD-38	RBN010061-002	Slope.stderr	48.3024561275628
YD-38	RBN011364-002	Slope.stderr	0.884886327690139
SK-OV-3	RBN010061-002	Slope.stderr	0.283492309423828
SK-OV-3	RBN011364-002	Slope.stderr	0.0574441697339844
SNU-620	RBN010061-002	Slope.stderr	0.455765747883402
SNU-620	RBN011364-002	Slope.stderr	6813902.78681944
EFE-184	RBN010061-002	Slope.stderr	0.00300801262163635
EFE-184	RBN011364-002	Slope.stderr	0.112038180199743
EFO-27	RBN010061-002	Slope.stderr	NA
EFO-27	RBN011364-002	Slope.stderr	0.0118619267739746
EVSA-T	RBN010061-002	Slope.stderr	0.00762213209430009
EVSA-T	RBN011364-002	Slope.stderr	0.0277920341832716
HCT-116	RBN010061-002	Slope.stderr	2.45148731169599
HCT-116	RBN011364-002	Slope.stderr	0.271867005833052
HEC-1-B	RBN010061-002	Slope.stderr	4889424.09859506
HEC-1-B	RBN011364-002	Slope.stderr	0.143712985581142
LXF-289	RBN010061-002	Slope.stderr	NA
LXF-289	RBN011364-002	Slope.stderr	0.786577346504339
HDQ-P1	RBN010061-002	Slope.stderr	0.124986603244217
HDQ-P1	RBN011364-002	Slope.stderr	0.327538811855551
U-87 MG	RBN010061-002	Slope.stderr	16.4692337996812
U-87 MG	RBN011364-002	Slope.stderr	0.453443818616716
DBTRG-05MG	RBN010061-002	Slope.stderr	0.116933092962879
DBTRG-05MG	RBN011364-002	Slope.stderr	0.0506306152395546
HCC-15	RBN010061-002	Slope.stderr	2.06534678565859
HCC-15	RBN011364-002	Slope.stderr	0.221151168891275
NCI-H1437	RBN010061-002	Slope.stderr	0.0437676113125773
NCI-H1437	RBN011364-002	Slope.stderr	0.089176009870437
NCI-H647	RBN010061-002	Slope.stderr	956119.922295196
NCI-H647	RBN011364-002	Slope.stderr	0.0885752710222685
LOU-NH91	RBN010061-002	Slope.stderr	NA
LOU-NH91	RBN011364-002	Slope.stderr	0.0528048499929913
CAL-27	RBN010061-002	Slope.stderr	0.416218439845928
CAL-27	RBN011364-002	Slope.stderr	0.15261041551947
LCLC-97TM1	RBN010061-002	Slope.stderr	0.842539599797262
LCLC-97TM1	RBN011364-002	Slope.stderr	0.20967868136503
GSS	RBN010061-002	Slope.stderr	63.870716121043
GSS	RBN011364-002	Slope.stderr	0.314712683974249
HCC1937	RBN010061-002	Slope.stderr	0.105780917512384
HCC1937	RBN011364-002	Slope.stderr	0.268519097941131
OV56	RBN010061-002	Slope.stderr	NA
OV56	RBN011364-002	Slope.stderr	0.167667068435096
HSC-4	RBN010061-002	Slope.stderr	42.195631337623
HSC-4	RBN011364-002	Slope.stderr	0.0151406581145759
CL-11	RBN010061-002	Slope.stderr	0.194777677667176
CL-11	RBN011364-002	Slope.stderr	9.66989748335606
SW480	RBN010061-002	Slope.stderr	57.0902347757217
SW480	RBN011364-002	Slope.stderr	3487730.45076266
NCI-H2170	RBN010061-002	Slope.stderr	0.594379118452775
NCI-H2170	RBN011364-002	Slope.stderr	0.0135835943503856
TE-6	RBN010061-002	Slope.stderr	1215974.39917675
TE-6	RBN011364-002	Slope.stderr	0.00609606752863499
HCC95	RBN010061-002	Slope.stderr	2668459.24116259
HCC95	RBN011364-002	Slope.stderr	0.149038897091399
MDA-MB-175-VII	RBN010061-002	Slope.stderr	0.110468630002243
MDA-MB-175-VII	RBN011364-002	Slope.stderr	0.395142736908058
NCI-H522	RBN010061-002	Slope.stderr	0.823906363642508
NCI-H522	RBN011364-002	Slope.stderr	0.0741185084150911
HCC2108	RBN010061-002	Slope.stderr	0.617537301731173
HCC2108	RBN011364-002	Slope.stderr	0.0102963017104027
TE-10	RBN010061-002	Slope.stderr	0.244508889961219
TE-10	RBN011364-002	Slope.stderr	0.0222307207634266
ZR-75-30	RBN010061-002	Slope.stderr	NA
ZR-75-30	RBN011364-002	Slope.stderr	0.265601449482241
GSU	RBN010061-002	Slope.stderr	618314.174840642
GSU	RBN011364-002	Slope.stderr	0.157562143540141
KYSE-410	RBN010061-002	Slope.stderr	0.602205644355276
KYSE-410	RBN011364-002	Slope.stderr	0.0257986780874144
KE-39	RBN010061-002	Slope.stderr	0.0551885800283558
KE-39	RBN011364-002	Slope.stderr	0.310928251447677
KNS-62	RBN010061-002	Slope.stderr	18.6050725154301
KNS-62	RBN011364-002	Slope.stderr	0.100100098106661
KPL-1	RBN010061-002	Slope.stderr	0.47343705411164
KPL-1	RBN011364-002	Slope.stderr	0.204149658127596
SCC-25	RBN010061-002	Slope.stderr	1.1349524497623
SCC-25	RBN011364-002	Slope.stderr	0.191864804438229
NCI-H1869	RBN010061-002	Slope.stderr	0.873833382335923
NCI-H1869	RBN011364-002	Slope.stderr	0.235750155651116
TE-5	RBN010061-002	Slope.stderr	0.298396699608907
TE-5	RBN011364-002	Slope.stderr	1.38186983781989
SNU-719	RBN010061-002	Slope.stderr	0.00339520976155805
SNU-719	RBN011364-002	Slope.stderr	0.00426692216866367
NCI-H358	RBN010061-002	Slope.stderr	0.277048691953978
NCI-H358	RBN011364-002	Slope.stderr	0.404775606580213
TYK-nu	RBN010061-002	Slope.stderr	0.244345754235601
TYK-nu	RBN011364-002	Slope.stderr	0.186558841369103
NCI-H1703	RBN010061-002	Slope.stderr	0.0121910893176018
NCI-H1703	RBN011364-002	Slope.stderr	0.199641675968656
CAL-33	RBN010061-002	Slope.stderr	1.26134826894862
CAL-33	RBN011364-002	Slope.stderr	0.329815479986343
NCI-H1373	RBN010061-002	Slope.stderr	0.209947409750394
NCI-H1373	RBN011364-002	Slope.stderr	1.00735679566717
TGBC11TKB	RBN010061-002	Slope.stderr	0.439221467985852
TGBC11TKB	RBN011364-002	Slope.stderr	0.0123857709484141
JIMT-1	RBN010061-002	Slope.stderr	0.671110462384267
JIMT-1	RBN011364-002	Slope.stderr	0.138313352678286
YMB-1	RBN010061-002	Slope.stderr	0.344275761468945
YMB-1	RBN011364-002	Slope.stderr	1.26448627190152
KYSE-520	RBN010061-002	Slope.stderr	44.1085933277537
KYSE-520	RBN011364-002	Slope.stderr	0.208448160836942
KYSE-70	RBN010061-002	Slope.stderr	837593.421493536
KYSE-70	RBN011364-002	Slope.stderr	0.0327102191989263
LS-123	RBN010061-002	Slope.pval	0.00213615030392783
LS-123	RBN011364-002	Slope.pval	0.0251886757574769
EBC-1	RBN010061-002	Slope.pval	6.96600674698629e-05
EBC-1	RBN011364-002	Slope.pval	2.66760438139695e-19
T3M-10	RBN010061-002	Slope.pval	4.0713203192927e-06
T3M-10	RBN011364-002	Slope.pval	0.00900897876761987
SNU-175	RBN010061-002	Slope.pval	0.380467974882795
SNU-175	RBN011364-002	Slope.pval	2.19862977081755e-07
A253	RBN010061-002	Slope.pval	9.39377643087921e-61
A253	RBN011364-002	Slope.pval	0.02179597027472
A549	RBN010061-002	Slope.pval	0.949748517515219
A549	RBN011364-002	Slope.pval	NA
KYSE-270	RBN010061-002	Slope.pval	0.000113807458582808
KYSE-270	RBN011364-002	Slope.pval	0.21694102358466
KYSE-450	RBN010061-002	Slope.pval	NA
KYSE-450	RBN011364-002	Slope.pval	3.19754383495383e-39
IM-95	RBN010061-002	Slope.pval	0.00966874543811078
IM-95	RBN011364-002	Slope.pval	0.999949700969154
LoVo	RBN010061-002	Slope.pval	0.00876741737924341
LoVo	RBN011364-002	Slope.pval	0.955258686777476
LCLC-103H	RBN010061-002	Slope.pval	0.901518666698961
LCLC-103H	RBN011364-002	Slope.pval	0.0309843638174288
KNS-81	RBN010061-002	Slope.pval	0.00411262244344948
KNS-81	RBN011364-002	Slope.pval	0.154051293474667
MDA-MB-436	RBN010061-002	Slope.pval	1.64445870983399e-10
MDA-MB-436	RBN011364-002	Slope.pval	0.249875962233509
HCC1195	RBN010061-002	Slope.pval	0.113452374918842
HCC1195	RBN011364-002	Slope.pval	0.00103894255471388
SNG-M	RBN010061-002	Slope.pval	0.278790509092077
SNG-M	RBN011364-002	Slope.pval	0.225750540709123
MDA-MB-231	RBN010061-002	Slope.pval	8.46831408871476e-22
MDA-MB-231	RBN011364-002	Slope.pval	0.0319778372433652
LK-2	RBN010061-002	Slope.pval	0.0165437433408152
LK-2	RBN011364-002	Slope.pval	1.09621124437666e-05
HCC2218	RBN010061-002	Slope.pval	0.0115525109673596
HCC2218	RBN011364-002	Slope.pval	1.36516956329426e-57
LC-1sq	RBN010061-002	Slope.pval	1.07726948666999e-15
LC-1sq	RBN011364-002	Slope.pval	0.0694359293004982
FaDu	RBN010061-002	Slope.pval	1.31851236582815e-07
FaDu	RBN011364-002	Slope.pval	0.07055160205935
NCI-H596	RBN010061-002	Slope.pval	1.67710918780987e-22
NCI-H596	RBN011364-002	Slope.pval	0.146920387883871
Caki-1	RBN010061-002	Slope.pval	0.921688675787769
Caki-1	RBN011364-002	Slope.pval	1.2131656246325e-23
ACHN	RBN010061-002	Slope.pval	NA
ACHN	RBN011364-002	Slope.pval	1.39661907297548e-08
YD-8	RBN010061-002	Slope.pval	0.627319759082746
YD-8	RBN011364-002	Slope.pval	0.110479618859734
HCC1588	RBN010061-002	Slope.pval	7.05719289734582e-52
HCC1588	RBN011364-002	Slope.pval	1.64237342705147e-44
T47D	RBN010061-002	Slope.pval	0.0322270198051856
T47D	RBN011364-002	Slope.pval	0.237595341138851
TE-8	RBN010061-002	Slope.pval	2.29955140702716e-40
TE-8	RBN011364-002	Slope.pval	0.0139971528653805
IA-LM	RBN010061-002	Slope.pval	0.870291956908104
IA-LM	RBN011364-002	Slope.pval	4.87803623015433e-09
EN	RBN010061-002	Slope.pval	0.000368639162466409
EN	RBN011364-002	Slope.pval	1.21978341911653e-63
NCI-H1975	RBN010061-002	Slope.pval	0.0185236978472506
NCI-H1975	RBN011364-002	Slope.pval	1.19854841063973e-08
NCI-H1838	RBN010061-002	Slope.pval	5.08224762604028e-65
NCI-H1838	RBN011364-002	Slope.pval	0.999096770025426
HCC-44	RBN010061-002	Slope.pval	0.724599551807113
HCC-44	RBN011364-002	Slope.pval	8.32012038812365e-06
HCC1187	RBN010061-002	Slope.pval	1.94842087129351e-61
HCC1187	RBN011364-002	Slope.pval	2.34490213672677e-65
YH-13	RBN010061-002	Slope.pval	5.53489313276298e-64
YH-13	RBN011364-002	Slope.pval	3.93523261588339e-05
HCC38	RBN010061-002	Slope.pval	0.00052119495525559
HCC38	RBN011364-002	Slope.pval	3.41103760384994e-175
SNU-1033	RBN010061-002	Slope.pval	1.22206760500252e-35
SNU-1033	RBN011364-002	Slope.pval	0.732787950882869
Calu-1	RBN010061-002	Slope.pval	4.35102413907136e-36
Calu-1	RBN011364-002	Slope.pval	0.00433817581055993
PE-CA-PJ15	RBN010061-002	Slope.pval	6.0110339606089e-23
PE-CA-PJ15	RBN011364-002	Slope.pval	0.0580829184170574
BHY	RBN010061-002	Slope.pval	0.999976054268991
BHY	RBN011364-002	Slope.pval	0.0105191458064266
MDA-MB-468	RBN010061-002	Slope.pval	0.000174662511600862
MDA-MB-468	RBN011364-002	Slope.pval	3.35252226850508e-73
CCK-81	RBN010061-002	Slope.pval	4.45319151259143e-54
CCK-81	RBN011364-002	Slope.pval	0.0343910282362717
HCC2279	RBN010061-002	Slope.pval	9.62915111341968e-43
HCC2279	RBN011364-002	Slope.pval	3.2852320911846e-53
HCC1599	RBN010061-002	Slope.pval	0.10076537481219
HCC1599	RBN011364-002	Slope.pval	7.93640588266311e-80
COLO-680N	RBN010061-002	Slope.pval	0.166196170538992
COLO-680N	RBN011364-002	Slope.pval	2.02322754016391e-05
SK-BR-3	RBN010061-002	Slope.pval	3.73907638409354e-34
SK-BR-3	RBN011364-002	Slope.pval	7.24717597159046e-68
NCI-H810	RBN010061-002	Slope.pval	2.04821182800025e-05
NCI-H810	RBN011364-002	Slope.pval	0.00984951097462638
Hs-578-T	RBN010061-002	Slope.pval	1.92911693100268e-20
Hs-578-T	RBN011364-002	Slope.pval	0.0630200210802133
KURAMOCHI	RBN010061-002	Slope.pval	0.00741196382538451
KURAMOCHI	RBN011364-002	Slope.pval	2.40923359567842e-63
SNU-81	RBN010061-002	Slope.pval	6.33389083783792e-111
SNU-81	RBN011364-002	Slope.pval	3.7383096151166e-169
SNU-C4	RBN010061-002	Slope.pval	0.822013587551062
SNU-C4	RBN011364-002	Slope.pval	4.52516236650077e-07
Detroit562	RBN010061-002	Slope.pval	1.58434750156021e-27
Detroit562	RBN011364-002	Slope.pval	0.186181875173522
NUGC-4	RBN010061-002	Slope.pval	0.975332299741021
NUGC-4	RBN011364-002	Slope.pval	0.849408327106864
KYSE-30	RBN010061-002	Slope.pval	1.92239087876554e-65
KYSE-30	RBN011364-002	Slope.pval	0.000109395593530396
OV7	RBN010061-002	Slope.pval	1.50887943327916e-12
OV7	RBN011364-002	Slope.pval	0.0157722662174041
RCM-1	RBN010061-002	Slope.pval	0.853383093609124
RCM-1	RBN011364-002	Slope.pval	0.0381817083433457
HT-29	RBN010061-002	Slope.pval	0.999988706501344
HT-29	RBN011364-002	Slope.pval	2.63353527867577e-11
SW48	RBN010061-002	Slope.pval	3.69929061515096e-32
SW48	RBN011364-002	Slope.pval	0.999981596399129
JHOS-2	RBN010061-002	Slope.pval	8.27811580929914e-28
JHOS-2	RBN011364-002	Slope.pval	3.50444337202029e-06
OVCAR-8	RBN010061-002	Slope.pval	8.15441940496975e-14
OVCAR-8	RBN011364-002	Slope.pval	0.000249217456075346
OVISE	RBN010061-002	Slope.pval	0.000158675254704117
